itemid,label,LEVEL1,LEVEL2
224686,tidal volume (spontaneous),tidal volume spontaneous,tidal volume spontaneous
223762,temperature celsius,temperature (c),temperature
225668,lactic acid,lactic acid,lactic acid
818,lactic acid(0.5-2.0),lactic acid,lactic acid
226531,admission weight (lbs.),"weight (lbs, admission)",weight
225312,art bp mean,mean blood pressure (arterial),mean blood pressure
225309,art bp systolic,systolic blood pressure (arterial),systolic blood pressure
225310,art bp diastolic,diastolic blood pressure (arterial),diastolic blood pressure
224696,plateau pressure,plateau pressure,plateau pressure
227464,potassium (whole blood),potassium (whole blood),potassium
1531,lactic acid,lactic acid,lactic acid
763,daily weight,weight (daily),weight
224,iabp mean,mean blood pressure (arterial),mean blood pressure
89,c.o. (fick),cardiac output fick,cardiac output fick
220227,arterial o2 saturation,oxygen saturation (arterial),oxygen saturation
224639,daily weight,weight (daily),weight
225690,total bilirubin,bilirubin (total),bilirubin
770,ast,asparate aminotransferase,asparate aminotransferase
220587,ast,asparate aminotransferase,asparate aminotransferase
769,alt,alanine aminotransferase,alanine aminotransferase
220644,alt,alanine aminotransferase,alanine aminotransferase
226512,admission weight (kg),"weight (kg, admission)",weight
224700,total peep level,positive end-expiratory pressure (total),positive end-expiratory pressure
225612,alkaline phosphate,alkaline phosphate,alkaline phosphate
773,alk. phosphate,alkaline phosphate,alkaline phosphate
848,total bili (0-1.5),bilirubin (total),bilirubin
227429,troponin-t,troponin-t,troponin-t
1538,total bili,bilirubin (total),bilirubin
772,albumin (>3.2),albumin,albumin
226534,sodium (whole blood),sodium (whole blood),sodium
227456,albumin,albumin,albumin
1521,albumin,albumin,albumin
226730,height (cm),height (cm),height
226707,height,height,height
651,spon rr (mech.),respiratory rate (spontaneous),respiratory rate
806,fibrinogen (150-400),fibrinogen,fibrinogen
227468,fibrinogen,fibrinogen,fibrinogen
1528,fibrinogen,fibrinogen,fibrinogen
226536,chloride (whole blood),chloride (whole blood),chloride
504,pcwp,pulmonary capillary wedge pressure,pulmonary capillary wedge pressure
6701,arterial bp #2 [systolic],systolic blood pressure (arterial),systolic blood pressure
8555,arterial bp #2 [diastolic],diastolic blood pressure (arterial),diastolic blood pressure
6702,arterial bp mean #2,mean blood pressure (arterial),mean blood pressure
224422,spont rr,respiratory rate (spontaneous),respiratory rate
224322,iabp mean,mean blood pressure (arterial),mean blood pressure
860,venous ph,ph (venous),ph
220274,ph (venous),ph (venous),ph
189,fio2 (analyzed),fraction inspired oxygen,fraction inspired oxygen
512,pvr,post void residual,post void residual
789,cholesterol (<200),cholesterol,cholesterol
226062,venous co2 pressure,partial pressure of carbon dioxide,partial pressure of carbon dioxide
223679,tco2 (calc) venous,"co2 (etco2, pco2, etc.)","co2 (etco2, pco2, etc.)"
851,troponin,troponin-i,troponin-i
803,direct bili (0-0.3),bilirubin (conjugated),bilirubin
225651,direct bilirubin,bilirubin (conjugated),bilirubin
1524,cholesterol,cholesterol,cholesterol
220603,cholesterol,cholesterol,cholesterol
442,manual bp [systolic],systolic blood pressure (noninvasive),systolic blood pressure
857,venous co2(calc),"co2 (etco2, pco2, etc.)","co2 (etco2, pco2, etc.)"
8440,manual bp [diastolic],diastolic blood pressure (noninvasive),diastolic blood pressure
859,venous pvo2,venous pvo2,venous pvo2
849,total protein(6.5-8),total protein,total protein
224167,manual blood pressure systolic left,systolic blood pressure (noninvasive),systolic blood pressure
224643,manual blood pressure diastolic left,diastolic blood pressure (noninvasive),diastolic blood pressure
1539,total protein,total protein,total protein
227243,manual blood pressure systolic right,systolic blood pressure (noninvasive),systolic blood pressure
727,vision fio2,fraction inspired oxygen,fraction inspired oxygen
1394,height inches,height (in),height
51120,monocytes,monocytes,monocytes
51254,monocytes,monocytes,monocytes
51379,monocytes,monocytes,monocytes
52272,monocytes,monocytes,monocytes
51112,basophils,basophils,basophils
51146,basophils,basophils,basophils
51367,basophils,basophils,basophils
51387,basophils,basophils,basophils
51442,basophils,basophils,basophils
52225,basophils,basophils,basophils
