category,kcd7,kor_name,eng_name,kcd8
세세,H04.29,상세불명 원인에 기인한 눈물,"Epiphora, unspecified cause",H04.28
세세,H04.39,상세불명의 누낭염,Unspecified dacryocystitis,H04.38
세세,H04.60,누루(淚瘻),Lacrimal fistula,H04.6
세세,H04.61,눈물길의 육아종,Granuloma of lacrimal passages,H04.6
세세,H04.68,눈물길에서의 기타 변화,Other changes in lacrimal passages,H04.6
세세,H11.13,결막의 건조증 NOS,Conjunctival xerosis NOS,H11.18
세세,H11.19,상세불명의 결막변성,Unspecified conjunctival degenerations,H11.18
세세,H11.82,결막지방탈출,Steatochalasis of conjunctiva,H11.88
세세,H15.04,천공성 공막연화증,Scleromalacia perforans,H15.8
세세,H15.19,상세불명의 상공막염,Unspecified episcleritis,H15.18
세세,H15.80,적도부포도종,Equatorial staphyloma,H15.8
세세,H15.81,국소적 전극포도종,Localized anterior staphyloma,H15.8
세세,H15.82,후극포도종,Staphyloma posticum,H15.8
세세,H15.83,공막확장증,Scleral ectasia,H15.8
세세,H15.84,고리모양포도종,Ring staphyloma,H15.8
세세,H15.88,공막의 기타 장애,Other disorders of sclera,H15.8
세세,H16.00,중심각막궤양,Central corneal ulcer,H16.0
세세,H16.01,고리모양각막궤양,Ring corneal ulcer,H16.0
세세,H16.02,전방축농을 동반한 각막궤양,Corneal ulcer with hypopyon,H16.0
세세,H16.03,변연부각막궤양,Marginal corneal ulcer,H16.0
세세,H16.04,무렌각막궤양,Mooren’s corneal ulcer,H16.0
세세,H16.05,진균성 각막궤양,Mycotic corneal ulcer,H16.0
세세,H16.06,천공된 각막궤양,Perforated corneal ulcer,H16.0
세세,H16.09,상세불명의 각막궤양,Unspecified corneal ulcer,H16.0
세세,H16.20,노출각막결막염,Exposure keratoconjunctivitis,H16.2
세세,H16.21,"건성 각막결막염, 쇼그렌으로 분류되지 않은","Keratoconjunctivitis sicca, not specified as Sjögren’s",H16.2
세세,H16.22,신경친화성 각막결막염,Neurotrophic keratoconjunctivitis,H16.2
세세,H16.23,결절성 안염,Ophthalmia nodosa,H16.2
세세,H16.24,플릭텐 각막결막염,Phlyctenular keratoconjunctivitis,H16.2
세세,H16.25,"봄철 각막결막염, 윤부 및 각막을 침범을 동반한","Vernal keratoconjunctivitis, with limbar and corneal involvement",H16.2
세세,H16.28,기타 각막결막염,Other keratoconjunctivitis,H16.2
세세,H16.29,상세불명의 각막결막염,Unspecified keratoconjunctivitis,H16.2
세세,H16.40,유령혈관(각막의),Ghost vessels(corneal),H16.4
세세,H16.41,파누스(각막의),Pannus(corneal),H16.4
세세,H16.42,국소성 각막혈관신생,Localized neovascularization of cornea,H16.4
세세,H16.43,심부 각막혈관신생,Deep neovascularization of cornea,H16.4
세세,H16.49,상세불명의 각막혈관신생,Unspecified corneal neovascularization,H16.4
세세,H16.80,미만성 층판성 각막염,Diffuse lamellar keratitis,H59.8
세세,H16.88,기타 각막염,Other keratitis,H16.8
세세,H18.72,각막편전위,Corneal flap dislocation,H18.78
세세,H18.73,각막편찢김,Corneal flap tear,H18.78
세세,H20.04,전방축농,Hypopyon,H20.08
세세,H20.05,전방막,Anterior chamber membrane,H20.08
세세,H20.09,상세불명의 급성 및 아급성 홍채섬모체염,Unspecified acute and subacute iridocyclitis,H20.08
세세,H33.10,거상연의 낭,Cyst of ora serrata,H33.1
세세,H33.11,망막의 기생충성 낭 NOS,Parasitic cyst of retina NOS,H33.1
세세,H33.18,기타 망막분리 및 망막낭,Other retinoschisis and retinal cysts,H33.1
세세,H33.19,상세불명의 망막분리,Unspecified retinoschisis,H33.1
세세,H33.39,상세불명의 망막열공,Unspecified retinal break,H33.38
세세,H33.50,삼출성 망막박리,Exudative retinal detachments,H33.2
세세,H33.58,기타 망막박리,Other retinal detachments,H33.5
세세,H35.00,망막혈관형태의 변화,Changes in retinal vascular appearance,H35.0
세세,H35.01,삼출성 망막병증,Exudative retinopathy,H35.0
세세,H35.02,고혈압성 망막병증,Hypertensive retinopathy,H35.0
세세,H35.03,망막미세동맥류 NOS,Retinal micro-aneurysms NOS,H35.0
세세,H35.04,망막혈관신생 NOS,Retinal neovascularization NOS,H35.0
세세,H35.05,망막혈관염,Retinal vasculitis,H35.0
세세,H35.06,망막모세혈관확장증,Retinal telangiectasis,H35.0
세세,H35.08,기타 망막내미세혈관이상,Other intraretinal microvascular abnormalities,H35.0
세세,H35.09,상세불명의 배경망막병증,Unspecified background retinopathy,H35.0
세세,H35.32,황반의 혈관모양줄무늬,Angioid streaks of macula,H35.39
세세,H35.33,"황반의 낭, 구멍 또는 거짓구멍","Macular cyst, hole, or pseudohole",H35.39
세세,H35.34,낭성 황반변성,Cystoid macular degeneration,H35.39
세세,H35.35,황반의 드루젠(퇴행성),Drusen(degenerative) of macula,H35.31
세세,H35.36,황반의 주름,Puckering of macula,H35.39
세세,H35.37,독성황반병증,Toxic maculopathy,H35.39
세세,H35.40,격자형망막변성,Lattice degeneration of retina,H35.4
세세,H35.41,미세낭모양망막변성,Microcystoid degeneration of retina,H35.4
세세,H35.42,포석형망막변성,Paving stone degeneration of retina,H35.4
세세,H35.43,연령과 관련된 망상망막변성,Age-related reticular degeneration of retina,H35.4
세세,H35.44,이차성 색소변성,Secondary pigmentary degeneration,H35.4
세세,H35.45,이차성 유리체망막변성,Secondary vitreoretinal degeneration,H35.4
세세,H35.49,상세불명의 주변부망막변성,Unspecified peripheral retinal degeneration,H35.4
세세,H35.79,상세불명의 망막층의 분리,Unspecified separation of retinal layers,H35.78
세세,H40.80,공막위정맥압의 증가를 동반한 녹내장,Glaucoma with increased episcleral venous pressure,H40.8
세세,H40.81,과다분비녹내장,Hypersecretion glaucoma,H40.8
세세,H40.82,방수흐름이상 악성 녹내장,Aqueous misdirection malignant glaucoma,H40.8
세세,H40.88,기타 녹내장,Other glaucoma,H40.8
세세,H50.01,A 형내사시,Esotropia with A pattern,H50.0
세세,H50.02,V 형내사시,Esotropia with V pattern,H50.0
세세,H50.08,기타 공동내사시,Esotropia with other concomitancies,H50.0
세세,H50.09,상세불명의 내사시,Unspecified esotropia,H50.0
세세,H50.11,A 형외사시,Exotropia with A pattern,H50.1
세세,H50.12,V 형외사시,Exotropia with V pattern,H50.1
세세,H50.18,기타 공동외사시,Exotropia with other concomitancies,H50.1
세세,H50.19,상세불명의 외사시,Unspecified exotropia,H50.1
세세,H50.41,단안주시증후군,Monofixation syndrome,H50.48
세세,H50.42,내사시의 조절성 요소,Accommodative component in esotropia,H50.48
세세,H50.52,수직사위,Vertical heterophoria,H50.58
세세,H50.53,회선사위,Cyclophoria,H50.58
세세,H50.54,교대상사위,Alternating heterophoria,H50.58
세세,H50.59,상세불명의 사위,Unspecified heterophoria,H50.58
세세,H50.60,브라운 건초 증후군,Brown’s sheath syndrome,H50.6
세세,H50.68,기타 기계적 사시,Other mechanical strabismus,H50.6
세세,H50.69,상세불명의 기계적 사시,"Mechanical strabismus, unspecified",H50.6
세세,H50.80,두엔 증후군,Duane’s syndrome,H50.8
세세,H50.88,기타 명시된 사시,Other specified strabismus,H50.8
세세,H52.22,상세불명의 난시,Unspecified astigmatism,H52.28
세세,H52.30,부동시,Anisometropia,H52.3
세세,H52.31,부등상시,Aniseikonia,H52.3
세세,H52.59,상세불명의 조절의 장애,Unspecified disorders of accommodation,H52.58
세세,H53.09,상세불명의 약시,Unspecified amblyopia,H53.08
세세,H53.10,주간맹,Day blindness,H53.1
세세,H53.11,일시적 시력상실,Transient visual loss,H53.1
세세,H53.12,돌발시력상실,Sudden visual loss,H53.1
세세,H53.13,시각의 불편,Visual discomfort,H53.1
세세,H53.14,시각의 형태나 크기의 왜곡,Visual distortions of shape and size,H53.1
세세,H53.18,기타 자각적 시각장애,Other subjective visual disturbances,H53.1
세세,H53.19,상세불명의 자각적 시각장애,Unspecified subjective visual disturbances,H53.1
세세,H53.40,중심부위를 포함한 암점,Scotoma involving central area,H53.4
세세,H53.41,맹점부위의 암점,Scotoma of blind spot area,H53.4
세세,H53.42,부채꼴 또는 궁형결손,Sector or arcuate defects,H53.4
세세,H53.43,기타 국소적 시야결손,Other localized visual field defect,H53.4
세세,H53.44,동측성 양쪽 시야결손,Homonymous bilateral field defects,H53.4
세세,H53.45,반대쪽 양쪽 시야결손,Heteronymous bilateral field defects,H53.4
세세,H53.46,시야의 전반적 수축,Generalized contraction of visual field,H53.4
세세,H53.49,상세불명의 시야결손,Unspecified visual field defects,H53.4
세세,H60.00,외이의 종기,Boil of external ear,H60.0
세세,H60.01,외이의 큰종기,Carbuncle of external ear,H60.0
세세,H60.02,외이의 종기,Furuncle of external ear,H60.0
세세,H60.08,기타 외이의 농양,Other abscess of external ear,H60.0
세세,H60.32,수영자귀,Swimmer’s ear,H60.38
세세,H60.50,급성 광선외이도염,Acute actinic otitis externa,H60.5
세세,H60.51,급성 화학적 외이도염,Acute chemical otitis externa,H60.5
세세,H60.52,급성 접촉성 외이도염,Acute contact otitis externa,H60.5
세세,H60.53,급성 습진모양외이도염,Acute eczematoid otitis externa,H60.5
세세,H60.54,급성 반응성 외이도염,Acute reactive otitis externa,H60.5
세세,H60.58,기타 급성 비감염성 외이도염,Other acute noninfective otitis externa,H60.5
세세,H60.59,상세불명의 급성 비감염성 외이도염,Unspecified acute noninfective otitis externa,H60.5
세세,H61.30,외상에 따른 외이도의 후천성 협착,Acquired stenosis of external ear canal secondary to trauma,H61.3
세세,H61.31,염증 및 감염에 따른 외이도의 후천성 협착,Acquired stenosis of external ear canal secondary to inflammation and infection,H61.3
세세,H61.38,외이도의 기타 후천성 협착,Other acquired stenosis of external ear canal,H61.3
세세,H61.39,외이도의 상세불명의 후천성 협착,"Acquired stenosis of external ear canal, unspecified",H61.3
세세,H65.02,"재발성 급성 장액성 중이염, 한쪽 또는 상세불명","Recurrent acute serous otitis media, unilateral or unspecified",H65.00
세세,H65.03,"재발성 급성 장액성 중이염, 양쪽","Recurrent acute serous otitis media, bilateral",H65.01
세세세,H65.102,"재발성 앨러지성(점액성)(혈액성)(장액성) 급성 및 아급성 중이염, 한쪽 또는 상세불명","Recurrent allergic(mucoid)(sanguinous)(serous) otitis media, acute and subacute, unilateral or unspecified",H65.100
세세세,H65.103,"재발성 앨러지성(점액성)(혈액성)(장액성) 급성 및 아급성 중이염, 양쪽","Recurrent allergic(mucoid)(sanguinous)(serous) otitis media, acute and subacute, bilateral",H65.101
세세세,H65.182,"재발성 기타 급성 비화농성 중이염, 한쪽 또는 상세불명","Recurrent other acute nonsuppurative otitis media, unilateral or unspecified",H65.180
세세세,H65.183,"재발성 기타 급성 비화농성 중이염, 양쪽","Recurrent other acute nonsuppurative otitis media, bilateral",H65.181
세세세,H66.002,"재발성 자발적 고막파열을 동반하지 않은 급성 화농성 중이염, 한쪽 또는 상세불명","Recurrent acute suppurative otitis media without spontaneous rupture of ear drum, unilateral or unspecified",H66.000
세세세,H66.003,"재발성 자발적 고막파열을 동반하지 않은 급성 화농성 중이염, 양쪽","Recurrent acute suppurative otitis media without spontaneous rupture of ear drum, bilateral",H66.001
세세세,H66.012,"재발성 자발적 고막파열을 동반한 급성 화농성 중이염, 한쪽 또는 상세불명","Recurrent acute suppurative otitis media with spontaneous rupture of ear drum, unilateral or unspecified",H66.010
세세세,H66.013,"재발성 자발적 고막파열을 동반한 급성 화농성 중이염, 양쪽","Reccurrent acute suppurative otitis media with spontaneous rupture of ear drum, bilateral",H66.011
세세,H68.10,귀인두관의 골성 폐색,Osseous obstruction of Eustachian tube,H68.1
세세,H68.11,귀인두관의 내인성 연골성 폐색,Intrinsic cartilagenous obstruction of Eustachian tube,H68.1
세세,H68.12,귀인두관의 외인성 연골성 폐색,Extrinsic cartilagenous obstruction of Eustachian tube,H68.1
세세,H68.19,귀인두관의 상세불명 폐색,Unspecified obstruction of Eustachian tube,H68.1
세세,H73.80,위축성 이완고막,Atrophic flaccid tympanic membrane,H73.8
세세,H73.81,위축성 비이완고막,Atrophic nonflaccid tympanic membrane,H73.8
세세,H73.88,고막의 기타 명시된 장애,Other specified disorders of tympanic membrane,H73.8
세세,H93.20,청각누가현상,Auditory recruitment,H93.2
세세,H93.21,복청(複聽),Diplacusis,H93.2
세세,H93.22,청각과민,Hyperacusis,H93.2
세세,H93.23,일과성 청각역치변화,Temporary auditory threshold shift,H93.2
세세,H93.28,기타 청각의 이상,Other abnormal auditory perceptions,H93.2
세세,I15.80,약물에 의한 이차성 고혈압,Hypertension secondary to drug,I15.8
세세,I15.88,기타 이차성 고혈압,Other secondary hypertension,I15.8
세세,I73.80,무릎아래동맥을 침범한 말초동맥폐쇄질환,Peripheral artery occlusive disease involving arteries below knee,I77.82
세세,I73.81,투석용동정맥루를 침범한 말초동맥폐쇄질환,Peripheral artery occlusive disease involving arteriovenous fistula for hemodialysis,I77.81
세세,I73.88,기타 명시된 말초혈관질환,Other specified peripheral vascular diseases,I73.8
세세,I85.00,"출혈이 있는 식도정맥류, 특발성","Esophageal varices with bleeding, idiopathic",I85.0
세세,I85.01,"출혈이 있는 식도정맥류, 이차성","Esophageal varices with bleeding, secondary",I85.0
세세,I85.90,"출혈이 없는 식도정맥류, 특발성","Esophageal varices without bleeding, idiopathic",I85.9
세세,I85.91,"출혈이 없는 식도정맥류, 이차성","Esophageal varices without bleeding, secondary",I85.9
세세,J84.10,림프구 간질성 폐렴,Lymphoid interstitial pneumonia,J84.1
세세,J84.18,섬유증을 동반한 기타 간질성 폐질환,Other interstitial pulmonary diseases with fibrosis,J84.1
세세,K00.26,소구치화,Premolarization,K00.29
세세,K00.27,이상결절 및 에나멜진주,Abnormal tubercula and enamel pearls [enameloma],K00.29
세세,K00.28,우상치,Taurodontism,K00.29
세세,K00.41,출생전 에나멜형성저하,Prenatal enamel hypoplasia,K00.40
세세,K00.42,신생아 에나멜형성저하,Neonatal enamel hypoplasia,K00.40
세세,K00.43,시멘트질의 무형성 및 형성저하,Aplasia and hypoplasia of cementum,K00.48
세세,K00.45,치아형성이상[국소성 치아형성이상],Odontodysplasia [regional odontodysplasia],K00.48
세세,K00.46,터너치아,Turner’s tooth,K00.48
세세,K00.60,선천치,Natal tooth,K00.68
세세,K00.61,신생치,Neonatal tooth,K00.68
세세,K00.62,치아의 조기맹출,Premature eruption of tooth,K00.68
세세,K00.64,만기맹출,Late eruption,K00.68
세세,K00.65,[탈락성] 유치의 조기탈락,Premature shedding of primary [deciduous] teeth,K00.68
세세,K00.80,혈액형부적합에 의한 치아형성 중 색조변화,Colour changes during tooth formation due to blood type incompatibility,K00.8
세세,K00.81,담도계이상으로 인한 치아형성 중 색조변화,Colour changes during tooth formation due to billiary system anomaly,K00.8
세세,K00.82,포르피린증에 의한 치아형성 중 색조변화,Colour changes during tooth formation due to porphyria,K00.8
세세,K00.83,테트라사이클린에 의한 치아형성 중 색조변화,Colour changes during tooth formation due to tetracyclines,K00.8
세세,K00.88,치아발육의 기타 명시된 장애,Other specified disorders of tooth development,K00.8
세세,K03.11,치아의 습관성 마모,Habitual abrasion of teeth,K03.18
세세,K03.12,치아의 직업성 마모,Occupational abrasion of teeth,K03.18
세세,K03.13,치아의 전통성 마모,Traditional abrasion of teeth,K03.18
세세,K03.20,직업성 치아의 침식,Occupational erosion of teeth,K03.2
세세,K03.21,지속적 구토에 의한 치아의 침식,Due to persistent regurgitating or vomiting erosion of teeth,K03.2
세세,K03.22,식사에 의한 치아의 침식,Due to diet erosion of teeth,K03.2
세세,K03.23,약물 및 약제의 의한 치아의 침식,Due to drug and medicaments erosion of  teeth,K03.2
세세,K03.24,특발성 치아의 침식,Idopathic erosion of teeth,K03.2
세세,K03.28,치아의 기타 명시된 침식,Other specified erosion of teeth,K03.2
세세,K03.29,치아의 상세불명 침식,"Erosion of teeth, unspecified",K03.2
세세,K06.80,성인성 치은낭,Gingival cyst of adult,K06.8
세세,K06.88,잇몸 및 무치성 치조융기의 기타 명시된 장애,Other specified disorders of gingiva and edentulous alveolar ridge,K06.8
세세,K08.82,치조융기의 확대 NOS,Enlargement of alveolar ridge NOS,K08.88
세,K58.0,설사를 동반한 과민대장증후군,Irritable bowel syndrome with diarrhoea,K58.1
세,K58.9,설사를 동반하지 않은 과민대장증후군,Irritable bowel syndrome without diarrhoea,K58.8
세세,K59.81,결장거짓폐색,Colonic pseudoobstruction,K56.0
세세,K63.50,결장의 연소성 폴립,Juvenile polyp of colon,K63.5
세세,K63.58,결장의 기타 폴립,Other polyp of colon,K63.5
세세,K63.59,결장의 상세불명 폴립,"Polyp of colon, unspecified",K63.5
세세,K74.00,"간섬유증, 차일드-퍼 A","Hepatic fibrosis, Child-Pugh A",K74.0
세세,K74.01,"간섬유증, 차일드-퍼 B","Hepatic fibrosis, Child-Pugh B",K74.0
세세,K74.02,"간섬유증, 차일드-퍼 C","Hepatic fibrosis, Child-Pugh C",K74.0
세세,K74.09,"간섬유증,상세불명","Hepatic fibrosis, unspecified",K74.0
세세,K74.10,"간경화증, 차일드-퍼 A","Hepatic sclerosis, Child-Pugh A",K74.19
세세,K74.11,"간경화증, 차일드-퍼 B","Hepatic sclerosis, Child-Pugh B",K74.19
세세,K74.12,"간경화증, 차일드-퍼 C","Hepatic sclerosis, Child-Pugh C",K74.19
세세,K74.19,"간경화증,상세불명","Hepatic sclerosis, unspecified",K74.19
세세,K74.20,"간경화증을 동반한 간섬유증, 차일드-퍼 A","Hepatic fibrosis with hepatic sclerosis, Child-Pugh A",K74.29
세세,K74.21,"간경화증을 동반한 간섬유증, 차일드-퍼 B","Hepatic fibrosis with hepatic sclerosis, Child-Pugh B",K74.29
세세,K74.22,"간경화증을 동반한 간섬유증, 차일드-퍼 C","Hepatic fibrosis with hepatic sclerosis, Child-Pugh C",K74.29
세세,K74.29,"간경화증을 동반한 간섬유증,상세불명","Hepatic fibrosis with hepatic sclerosis, unspecified",K74.29
세세,K74.30,"원발성 담즙성 경변증, 차일드-퍼 A","Primary biliary cirrhosis, Child-Pugh A",K74.39
세세,K74.31,"원발성 담즙성 경변증, 차일드-퍼 B","Primary biliary cirrhosis, Child-Pugh B",K74.39
세세,K74.32,"원발성 담즙성 경변증, 차일드-퍼 C","Primary biliary cirrhosis, Child-Pugh C",K74.39
세세,K74.39,"원발성 담즙성 경변증,상세불명","Primary biliary cirrhosis, unspecified",K74.39
세세,K74.40,"이차성 담즙성 간경변증, 차일드-퍼 A","Secondary biliary cirrhosis, Child-Pugh A",K74.49
세세,K74.41,"이차성 담즙성 간경변증, 차일드-퍼 B","Secondary biliary cirrhosis, Child-Pugh B",K74.49
세세,K74.42,"이차성 담즙성 간경변증, 차일드-퍼 C","Secondary biliary cirrhosis, Child-Pugh C",K74.49
세세,K74.49,"이차성 담즙성 간경변증,상세불명","Secondary biliary cirrhosis, unspecified",K74.49
세세,K74.50,"상세불명의 담즙성 간경변증, 차일드-퍼 A","Biliary cirrhosis, unspecified, Child-Pugh A",K74.59
세세,K74.51,"상세불명의 담즙성 간경변증, 차일드-퍼 B","Biliary cirrhosis, unspecified, Child-Pugh B",K74.59
세세,K74.52,"상세불명의 담즙성 간경변증, 차일드-퍼 C","Biliary cirrhosis, unspecified, Child-Pugh C",K74.59
세세,K74.59,"상세불명의 담즙성 간경변증,상세불명","Biliary cirrhosis, unspecified, unspecified",K74.59
세세,K74.60,"간의 기타 및 상세불명의 경변증, 차일드-퍼 A","Other and unspecified cirrhosis of liver, Child-Pugh A",K74.69
세세,K74.61,"간의 기타 및 상세불명의 경변증, 차일드-퍼 B","Other and unspecified cirrhosis of liver, Child-Pugh B",K74.69
세세,K74.62,"간의 기타 및 상세불명의 경변증, 차일드-퍼 C","Other and unspecified cirrhosis of liver, Child-Pugh C",K74.69
세세,K74.69,"간의 기타 및 상세불명의 경변증,상세불명","Other and unspecified cirrhosis of liver, unspecified",K74.69
세세,L01.01,보크하르트농가진,Bockhart’s impetigo,L01.08
세세,L03.39,몸통의 상세불명 연조직염,"Cellulitis of trunk, unspecified",L03.38
세세,L08.80,증식성 농피증,Pyoderma vegetans,L08.8
세세,L08.81,신생아를 제외한 배꼽염,Omphalitis not of newborn,L08.8
세세,L08.88,피부 및 피하조직의 기타 명시된 국소감염,Other specified local infections of  skin and subcutaneous tissue,L08.8
세세,L20.80,아토피성 신경피부염,Atopic neurodermatitis,L20.88
세세,L20.81,굴측습진,Flexural eczema,L20.88
세세,L20.82,영아습진,Infantile eczema,L20.88
세세,L20.83,내인성 습진,Intrinsic eczema,L20.88
세세,M20.01,부또니에르변형,Boutonniere deformity,M20.08
세세,M20.02,백조목변형,Swan-neck deformity,M20.08
세세,M21.08,"달리 분류되지 않은 외반변형, 기타 부분","Valgus deformity, NEC, other",M21.09
세세,M21.18,"달리 분류되지 않은 내반변형, 기타 부분","Varus deformity, NEC, other",M21.09
세세,M21.28,"굴곡변형, 기타 부분","Flexion deformity, other",M21.29
세,M31.2,치사중간선육아종,Lethal midline granuloma,C86.0
세세,M32.10,심장침범 동반 전신홍반루푸스,Systemic lupus erythematosus with heart involvement,M32.1
세세,M32.12,폐침범 동반 전신홍반루푸스(J99.1*),Systemic lupus erythematosus with lung involvement(J99.1*),M32.1
세세,M32.13,신장침범 동반 전신홍반루푸스,Systemic lupus erythematosus with renal involvement,M32.1
세세,M32.15,기타 기관 또는 계통 침범을 동반 전신홍반루푸스,Systemic lupus erythematosus with other organ or system involvement,M32.1
세세,M32.19,상세불명의 기관 또는 계통 침습을 동반한 전신홍반루푸스,Systemic lupus erythematosus with unspecified organ or system,M32.1
세세,M41.10,"연소성 특발성 척주측만증, 척추의 여러 부위","Juvenile idiopathic scoliosis, multiple sites in spine","M41.101, M41.102, M41.109"
세세,M41.11,"연소성 특발성 척주측만증, 후두환축부","Juvenile idiopathic scoliosis, occipito-atlanto-axial region","M41.111, M41.112, M41.119"
